Type,Class,Name,March,April,May,June,July,August
Skill,Amazon,Jab,188,165,142,174,171,172
Skill,Amazon,Power Strike,1336,1358,1335,1365,1286,1306
Skill,Amazon,Poison Javelin,348,392,368,369,365,366
Skill,Amazon,Fend,74,54,53,53,54,54
Skill,Amazon,Lightning Bolt,1282,1300,1279,1275,1212,1232
Skill,Amazon,Charged Strike,977,997,999,999,932,952
Skill,Amazon,Plague Javelin,408,464,424,422,417,418
Skill,Amazon,Molten Strike,109,51,32,51,51,51
Skill,Amazon,Lightning Strike,635,647,642,625,599,609
Skill,Amazon,Lightning Fury,1381,1381,1360,1380,1290,1310
Skill,Amazon,Inner Sight,270,261,263,262,261,261
Skill,Amazon,Lethal Strike,1335,1315,1326,1327,1331,1331
Skill,Amazon,Phase Run,374,377,380,387,374,374
Skill,Amazon,Dodge,394,369,371,366,369,369
Skill,Amazon,Avoid,374,346,351,346,349,349
Skill,Amazon,Penetrate,768,729,714,727,739,739
Skill,Amazon,Evade,267,252,257,255,258,258
Skill,Amazon,Decoy,127,126,125,124,123,123
Skill,Amazon,Valkyrie,756,714,713,729,693,693
Skill,Amazon,Pierce,927,917,902,919,915,915
Skill,Amazon,Cold Arrow,817,829,896,897,938,937
Skill,Amazon,Magic Arrow,266,288,311,310,340,339
Skill,Amazon,Multiple Shot,1340,1349,1382,1361,1394,1383
Skill,Amazon,Fire Arrow,1074,1060,1105,1098,1153,1164
Skill,Amazon,Ice Arrow,697,737,815,797,837,837
Skill,Amazon,Guided Arrow,270,298,305,306,291,289
Skill,Amazon,Exploding Arrow,578,561,557,536,567,583
Skill,Amazon,Strafe,375,431,451,450,467,466
Skill,Amazon,Immolation Arrow,1299,1318,1341,1304,1341,1321
Skill,Amazon,Freezing Arrow,580,627,668,685,725,725
Skill,Assassin,Dragon Claw,103,105,112,111,115,115
Skill,Assassin,Tiger Strike,191,172,171,172,175,175
Skill,Assassin,Dragon Talon,120,122,129,128,132,132
Skill,Assassin,Fists of Fire,622,655,751,750,754,754
Skill,Assassin,Cobra Strike,305,349,392,393,413,414
Skill,Assassin,Claws of Thunder,671,693,812,811,815,815
Skill,Assassin,Dragon Flight,139,141,148,147,151,151
Skill,Assassin,Blades of Ice,807,809,928,925,947,947
Skill,Assassin,Claw Mastery,574,541,586,582,571,571
Skill,Assassin,Psychic Hammer,235,216,202,223,223,223
Skill,Assassin,Burst of Speed,637,610,591,606,594,594
