Type,League,Class,Name,March,April,May,June,July,August,S13 August,S13 September,S13 October,End of Season,Post Season 13
Skill,SC,Amazon,Jab,188,165,142,174,171,172,171,172,191,191,188
Skill,SC,Amazon,Power Strike,1336,1358,1335,1365,1286,1306,1295,1314,1296,1296,1325
Skill,SC,Amazon,Poison Javelin,348,392,368,369,365,366,346,331,318,318,300
Skill,SC,Amazon,Fend,74,54,53,53,54,54,54,54,56,56,56
Skill,SC,Amazon,Lightning Bolt,1282,1300,1279,1275,1212,1232,1222,1240,1220,1220,1240
Skill,SC,Amazon,Charged Strike,977,997,999,999,932,952,958,978,984,984,974
Skill,SC,Amazon,Plague Javelin,408,464,424,422,417,418,397,374,341,341,323
Skill,SC,Amazon,Molten Strike,109,51,32,51,51,51,51,71,71,71,91
Skill,SC,Amazon,Lightning Strike,635,647,642,625,599,610,626,636,635,635,617
Skill,SC,Amazon,Lightning Fury,1381,1381,1360,1380,1290,1310,1290,1290,1270,1270,1290
Skill,SC,Amazon,Inner Sight,270,261,263,262,261,261,260,257,258,258,257
Skill,SC,Amazon,Lethal Strike,1335,1315,1326,1327,1331,1331,1316,1254,1236,1236,1242
Skill,SC,Amazon,Phase Run,374,377,380,387,374,374,371,367,368,368,368
Skill,SC,Amazon,Dodge,394,369,371,366,369,369,367,360,349,349,346
Skill,SC,Amazon,Avoid,374,346,351,346,349,349,346,340,330,330,328
Skill,SC,Amazon,Penetrate,768,729,714,727,739,739,740,686,682,682,681
Skill,SC,Amazon,Evade,267,252,257,255,258,258,257,249,245,245,244
Skill,SC,Amazon,Decoy,127,126,125,124,123,123,123,124,126,126,126
Skill,SC,Amazon,Valkyrie,756,714,713,729,693,693,700,701,724,724,706
Skill,SC,Amazon,Pierce,927,917,902,919,915,916,913,902,898,898,901
Skill,SC,Amazon,Cold Arrow,817,829,896,897,938,937,957,962,991,991,952
Skill,SC,Amazon,Magic Arrow,266,288,311,310,340,339,340,323,307,307,307
Skill,SC,Amazon,Multiple Shot,1340,1349,1382,1361,1394,1383,1364,1316,1297,1297,1317
Skill,SC,Amazon,Fire Arrow,1074,1060,1105,1098,1153,1164,1146,1123,1105,1105,1086
Skill,SC,Amazon,Ice Arrow,697,737,815,797,837,837,858,858,879,879,839
Skill,SC,Amazon,Guided Arrow,270,298,305,306,291,289,289,287,288,288,289
Skill,SC,Amazon,Exploding Arrow,578,561,557,536,567,583,578,590,554,554,555
Skill,SC,Amazon,Strafe,375,431,451,450,467,466,486,471,472,472,492
Skill,SC,Amazon,Immolation Arrow,1299,1318,1341,1304,1341,1321,1326,1283,1277,1277,1292
Skill,SC,Amazon,Freezing Arrow,580,627,668,685,725,725,746,784,824,824,784
Skill,SC,Assassin,Dragon Claw,103,105,112,111,115,116,115,111,109,109,107
Skill,SC,Assassin,Tiger Strike,191,172,171,172,175,174,175,154,139,139,137
Skill,SC,Assassin,Dragon Talon,120,122,129,128,132,133,150,127,125,125,123
Skill,SC,Assassin,Fists of Fire,622,655,751,750,754,736,676,636,596,596,575
Skill,SC,Assassin,Cobra Strike,305,349,392,393,413,403,412,378,357,357,343
Skill,SC,Assassin,Claws of Thunder,671,693,812,811,815,797,756,716,676,676,655
Skill,SC,Assassin,Dragon Flight,139,141,148,147,151,152,169,146,144,144,142
Skill,SC,Assassin,Blades of Ice,807,809,928,925,947,948,881,841,802,802,781
Skill,SC,Assassin,Claw Mastery,574,541,586,582,571,591,580,542,553,553,551
Skill,SC,Assassin,Psychic Hammer,235,216,202,223,223,222,262,241,257,257,219
